Iteration,list_iterations,Iteration,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour,list_duration_since_innit
4,11,93,0,0,1,0,271.03
4,12,91,1,0,1,2,283.23
4,13,90,1,0,0,0,295.42
4,14,88,2,0,1,0,307.44
4,15,87,0,1,0,1,320.13
4,16,87,0,0,0,0,332.79
4,17,86,0,0,1,1,344.95
4,18,85,0,0,0,1,358.19
4,19,81,0,4,0,0,369.77
4,20,81,0,0,0,0,381.0
4,21,81,0,0,0,0,392.32
4,22,77,4,0,0,0,403.58
4,23,77,0,0,0,0,414.82
4,24,77,0,0,0,0,425.78
4,25,77,0,0,0,0,436.76
4,26,77,0,0,0,0,447.71
4,27,77,0,0,0,0,458.67
4,28,76,0,0,0,1,469.65
4,29,76,0,0,0,0,480.44
4,30,75,1,0,0,0,491.33
4,31,75,0,0,0,0,502.19
4,32,75,0,0,0,0,512.94
4,33,75,0,0,0,0,523.74
4,34,74,0,0,0,1,534.52
4,35,74,0,0,0,0,545.11
4,36,74,0,0,0,0,555.74
4,37,74,0,0,0,0,566.53
4,38,74,0,0,0,0,577.18
4,39,74,0,0,0,0,587.9
4,40,73,1,0,0,0,598.51
4,41,73,0,0,0,0,609.15
4,42,73,0,0,0,0,619.77
4,43,73,0,0,0,0,630.44
4,44,73,0,0,0,0,641.07
4,45,73,0,0,0,0,651.64
4,46,73,0,0,0,0,662.25
4,47,73,0,0,0,0,672.83
4,48,73,0,0,0,0,683.49
4,49,73,0,0,0,0,694.3
4,50,72,1,0,0,0,705.03
4,51,72,0,0,0,0,715.5
4,52,72,0,0,0,0,726.03
4,53,72,0,0,0,0,736.53
4,54,72,0,0,0,0,747.06
4,55,72,0,0,0,0,757.59
4,56,72,0,0,0,0,768.1
4,57,72,0,0,0,0,778.55
4,58,72,0,0,0,0,789.13
4,59,72,0,0,0,0,799.64
4,60,72,0,0,0,0,810.17
4,61,72,0,0,0,0,820.78
4,62,72,0,0,0,0,831.39
4,63,72,0,0,0,0,841.9
4,64,72,0,0,0,0,852.36
4,65,72,0,0,0,0,862.87
4,66,72,0,0,0,0,873.38
4,67,72,0,0,0,0,883.97
4,68,72,0,0,0,0,894.45
4,69,72,0,0,0,0,905.0
4,70,72,0,0,0,0,915.63
4,71,72,0,0,0,0,926.09
4,72,72,0,0,0,0,936.63
4,73,72,0,0,0,0,947.04
4,74,72,0,0,0,0,957.52
4,75,72,0,0,0,0,968.16
4,76,72,0,0,0,0,978.64
4,77,72,0,0,0,0,989.55
4,78,72,0,0,0,0,1001.37
4,79,72,0,0,0,0,1012.23
4,80,72,0,0,0,0,1022.74
5,0,1488,0,0,0,0,0
5,1,184,1294,1281,1300,1304,127.05
5,2,173,5,5,3,11,146.95
5,3,157,11,9,5,16,166.18
5,4,154,2,0,3,1,183.94
5,5,147,2,3,0,7,201.57
5,6,141,4,3,5,6,218.43
5,7,140,0,0,1,0,234.62
5,8,139,0,1,0,0,250.7
5,9,134,5,1,1,1,267.05
5,10,130,4,0,0,0,282.82
5,11,128,0,2,1,0,298.48
5,12,128,0,0,0,0,313.51
5,13,127,0,0,0,1,328.78
5,14,126,1,0,0,1,343.75
5,15,125,0,1,0,1,358.64
5,16,124,0,1,1,1,373.34
5,17,120,0,1,0,4,388.48
5,18,118,0,0,2,2,403.14
5,19,117,0,0,1,1,417.66
5,20,116,0,0,0,1,432.12
5,21,114,0,0,0,2,446.52
5,22,113,0,1,0,0,460.67
5,23,113,0,0,0,0,474.68
5,24,98,15,0,0,0,488.98
5,25,97,0,1,0,0,501.63
5,26,94,0,0,0,3,514.3
5,27,93,0,0,0,1,526.78
5,28,93,0,0,0,0,539.1
5,29,93,0,0,0,0,551.42
5,30,93,0,0,0,0,563.8
5,31,93,0,0,0,0,576.35
5,32,93,0,0,0,0,588.68
5,33,92,0,0,0,1,600.91
5,34,92,0,0,0,0,613.29
5,35,92,0,0,0,0,625.52
5,36,92,0,0,0,0,637.8
5,37,92,0,0,0,0,649.95
5,38,92,0,0,0,0,662.14
5,39,92,0,0,0,0,674.4
5,40,92,0,0,0,0,686.65
5,41,92,0,0,0,0,699.05
5,42,92,0,0,0,0,711.33
5,43,92,0,0,0,0,723.53
5,44,92,0,0,0,0,735.91
5,45,92,0,0,0,0,748.16
5,46,92,0,0,0,0,760.47
5,47,92,0,0,0,0,772.7
5,48,92,0,0,0,0,784.85
5,49,92,0,0,0,0,797.03
5,50,92,0,0,0,0,809.29
5,51,92,0,0,0,0,821.51
5,52,92,0,0,0,0,833.67
5,53,92,0,0,0,0,845.86
5,54,92,0,0,0,0,858.07
5,55,92,0,0,0,0,870.54
5,56,79,13,0,0,0,882.72
5,57,79,0,0,0,0,893.76
5,58,79,0,0,0,0,905.05
5,59,79,0,0,0,0,916.18
5,60,79,0,0,0,0,927.44
5,61,79,0,0,0,0,938.56
5,62,79,0,0,0,0,949.63
5,63,79,0,0,0,0,960.89
5,64,79,0,0,0,0,972.14
5,65,79,0,0,0,0,983.25
5,66,79,0,0,0,0,994.4
5,67,79,0,0,0,0,1005.55
5,68,79,0,0,0,0,1016.7
5,69,79,0,0,0,0,1027.88
5,70,79,0,0,0,0,1039.0
5,71,79,0,0,0,0,1050.11
5,72,79,0,0,0,0,1061.26
5,73,79,0,0,0,0,1072.34
5,74,79,0,0,0,0,1083.54
5,75,79,0,0,0,0,1094.72
5,76,79,0,0,0,0,1105.88
5,77,79,0,0,0,0,1117.14
5,78,79,0,0,0,0,1128.59
5,79,79,0,0,0,0,1139.76
5,80,79,0,0,0,0,1150.9
5,81,79,0,0,0,0,1162.05
5,82,79,0,0,0,0,1173.46
5,83,79,0,0,0,0,1184.59
5,84,79,0,0,0,0,1196.12
5,85,79,0,0,0,0,1207.32
5,86,79,0,0,0,0,1218.49
6,0,1205,0,0,0,0,0
6,1,187,1018,998,984,1006,103.22
6,2,178,6,7,9,5,123.33
6,3,171,4,4,1,7,142.57
6,4,167,2,3,4,2,161.07
6,5,159,2,4,3,8,179.41
6,6,154,0,0,5,0,196.97
6,7,152,0,0,2,1,214.33
6,8,148,4,1,0,1,231.4
6,9,148,0,0,0,0,248.23
6,10,147,0,1,0,0,265.0
6,11,145,0,1,2,0,281.5
6,12,143,0,1,2,0,298.08
6,13,142,1,1,0,0,314.43
6,14,140,0,2,0,0,330.71
6,15,139,1,0,0,0,346.83
6,16,137,2,0,1,0,362.82
6,17,137,0,0,0,0,378.73
6,18,135,0,0,0,2,394.39
6,19,134,0,1,0,0,409.99
6,20,133,0,0,1,0,425.57
6,21,133,0,0,0,0,440.86
6,22,133,0,0,0,0,456.39
6,23,133,0,0,0,0,472.02
6,24,132,0,0,0,1,487.37
6,25,132,0,0,0,0,502.71
6,26,132,0,0,0,0,518.05
6,27,131,1,0,1,0,533.43
6,28,130,1,0,0,0,549.17
6,29,128,0,0,2,0,565.63
6,30,128,0,0,0,0,580.79
6,31,127,0,0,1,0,596.01
6,32,126,0,1,1,0,610.99
6,33,126,0,0,0,0,625.93
6,34,126,0,0,0,0,640.91
6,35,124,0,2,2,0,655.73
6,36,123,0,0,1,1,670.67
6,37,122,0,0,1,0,685.71
6,38,120,0,0,0,2,700.46
6,39,119,0,0,0,1,714.99
6,40,117,0,0,0,2,729.61
6,41,117,0,0,0,0,744.03
6,42,117,0,0,0,0,758.35
6,43,117,0,0,0,0,772.79
6,44,117,0,0,0,0,787.05
6,45,116,0,1,0,1,801.42
6,46,116,0,0,0,0,815.67
6,47,116,0,0,0,0,830.08
6,48,116,0,0,0,0,844.28
6,49,116,0,0,0,0,858.79
6,50,116,0,0,0,0,872.96
6,51,115,1,0,0,0,887.63
6,52,111,4,0,0,0,901.82
6,53,111,0,0,0,0,915.71
6,54,111,0,0,0,0,929.42
6,55,111,0,0,0,0,943.3
6,56,111,0,0,0,0,957.19
6,57,111,0,0,0,0,971.16
6,58,111,0,0,0,0,984.99
6,59,111,0,0,0,0,998.87
6,60,111,0,0,0,0,1012.85
6,61,111,0,0,0,0,1026.73
6,62,111,0,0,0,0,1040.61
6,63,111,0,0,0,0,1054.49
6,64,110,0,0,0,1,1068.4
6,65,110,0,0,0,0,1082.15
6,66,110,0,0,0,0,1095.86
6,67,110,0,0,0,0,1109.65
6,68,110,0,0,0,0,1123.49
6,69,110,0,0,0,0,1137.18
6,70,110,0,0,0,0,1151.01
6,71,110,0,0,0,0,1164.78
6,72,110,0,0,0,0,1178.56
6,73,109,0,0,0,1,1192.23
6,74,109,0,0,0,0,1205.88
6,75,109,0,0,0,0,1219.64
6,76,109,0,0,0,0,1233.31
6,77,109,0,0,0,0,1246.9
6,78,109,0,0,0,0,1260.6
6,79,109,0,0,0,0,1274.2
6,80,109,0,0,0,0,1287.87
6,81,109,0,0,0,0,1301.68
6,82,109,0,0,0,0,1315.32
6,83,109,0,0,0,0,1329.07
6,84,109,0,0,0,0,1342.57
6,85,109,0,0,0,0,1356.18
6,86,109,0,0,0,0,1369.92
6,87,109,0,0,0,0,1383.64
6,88,109,0,0,0,0,1397.55
6,89,109,0,0,0,0,1411.27
6,90,109,0,0,0,0,1424.82
6,91,109,0,0,0,0,1438.5
6,92,109,0,0,0,0,1452.33
6,93,109,0,0,0,0,1466.03
6,94,109,0,0,0,0,1479.68
6,95,109,0,0,0,0,1493.24
6,96,109,0,0,0,0,1506.88
6,97,109,0,0,0,0,1520.74
6,98,109,0,0,0,0,1534.45
6,99,109,0,0,0,0,1548.14
6,100,109,0,0,0,0,1561.79
6,101,109,0,0,0,0,1575.45
6,102,109,0,0,0,0,1589.14
6,103,109,0,0,0,0,1602.79
7,0,1424,0,0,0,0,0
7,1,176,1243,1246,1242,1248,121.46
7,2,166,8,6,8,10,140.47
7,3,163,3,2,3,3,158.76
7,4,151,4,12,2,5,176.63
7,5,137,14,1,0,3,193.91
7,6,130,2,0,4,7,209.75
7,7,123,5,7,0,1,224.88
7,8,120,0,1,3,3,239.51
7,9,116,1,1,1,4,254.02
7,10,114,0,0,0,2,268.12
7,11,112,0,2,1,1,282.1
7,12,106,6,3,0,2,295.98
7,13,103,0,0,1,3,309.19
7,14,101,2,1,0,0,322.35
7,15,100,0,1,0,1,335.27
7,16,98,0,1,0,2,348.1
7,17,95,1,1,1,3,360.64
7,18,93,2,1,0,0,373.04
7,19,92,0,1,1,1,385.26
7,20,90,0,1,1,2,397.35
7,21,87,1,0,3,0,409.36
7,22,86,1,0,0,0,421.09
7,23,85,0,1,0,0,432.73
7,24,85,0,0,0,0,444.2
7,25,84,0,1,0,0,455.84
7,26,83,1,0,0,0,467.39
7,27,82,0,0,0,1,478.83
7,28,82,0,0,0,0,490.15
7,29,82,0,0,0,0,501.55
7,30,82,0,0,0,0,512.78
7,31,82,0,0,0,0,524.09
7,32,82,0,0,0,0,535.37
7,33,81,0,0,0,1,546.59
7,34,81,0,0,0,0,557.69
7,35,81,0,0,0,0,568.94
7,36,79,2,0,0,0,580.14
7,37,79,0,0,0,0,591.24
7,38,79,0,0,0,0,602.19
7,39,79,0,0,0,0,613.29
7,40,79,0,0,0,0,624.33
7,41,78,0,0,0,1,635.41
7,42,78,0,0,0,0,646.35
7,43,78,0,0,0,0,657.32
7,44,78,0,0,0,0,668.16
7,45,78,0,0,0,0,679.04
7,46,78,0,0,0,0,689.96
7,47,78,0,0,0,0,700.86
7,48,78,0,0,0,0,711.74
7,49,78,0,0,0,0,722.65
7,50,78,0,0,0,0,733.54
7,51,78,0,0,0,0,744.9
7,52,78,0,0,0,0,757.14
7,53,78,0,0,0,0,768.36
7,54,78,0,0,0,0,779.32
7,55,78,0,0,0,0,790.3
7,56,78,0,0,0,0,801.76
7,57,78,0,0,0,0,814.25
7,58,78,0,0,0,0,826.22
