,List Iterations,Duration since innit,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
1519,113,1598.8,71,0,0,0,0
1520,114,1610.69,71,0,0,0,0
1521,115,1622.1,71,0,0,0,0
1522,116,1633.76,71,0,0,0,0
1523,117,1645.44,71,0,0,0,0
1524,118,1657.13,70,0,1,0,0
1525,119,1669.09,70,0,0,0,0
1526,120,1681.15,70,0,0,0,0
1527,121,1692.79,70,0,0,0,0
1528,122,1704.77,70,0,0,0,0
1529,123,1716.56,70,0,0,0,0
1530,124,1728.69,70,0,0,0,0
1531,125,1740.77,70,0,0,0,0
1532,126,1752.93,70,0,0,0,0
1533,127,1764.64,70,0,0,0,0
1534,128,1776.42,70,0,0,0,0
1535,129,1787.73,70,0,0,0,0
1536,130,1798.98,70,0,0,0,0
1537,131,1810.8,70,0,0,0,0
1538,132,1821.94,70,0,0,0,0
1539,133,1833.11,70,0,0,0,0
1540,134,1844.38,70,0,0,0,0
1541,135,1855.97,70,0,0,0,0
1542,136,1867.67,70,0,0,0,0
1543,137,1879.56,70,0,0,0,0
1544,138,1890.87,70,0,0,0,0
1545,139,1902.52,70,0,0,0,0
1546,140,1913.7,70,0,0,0,0
1547,141,1925.08,70,0,0,0,0
1548,142,1936.55,70,0,0,0,0
1549,143,1947.79,70,0,0,0,0
1550,144,1959.23,70,0,0,0,0
1551,145,1970.6,70,0,0,0,0
1552,146,1982.62,70,0,0,0,0
1553,147,1994.31,70,0,0,0,0
1554,148,2005.6,70,0,0,0,0
1555,0,0.0,1261,0,0,0,0
1556,1,150.0,151,1110,1094,182,169
1557,2,171.09,136,2,4,15,15
1558,3,190.77,130,6,2,2,5
1559,4,209.38,110,20,2,2,3
1560,5,225.81,104,3,6,1,1
1561,6,241.75,101,1,1,3,0
1562,7,258.54,100,0,0,0,1
1563,8,274.12,97,3,0,0,0
1564,9,291.09,92,2,5,3,1
1565,10,306.27,90,0,2,2,1
1566,11,320.74,88,1,0,2,1
1567,12,334.86,86,0,2,1,1
1568,13,348.8,85,0,1,1,0
1569,14,363.03,84,1,1,1,0
1570,15,377.28,80,2,1,4,2
1571,16,391.09,79,0,1,0,0
1572,17,404.56,78,1,1,1,0
1573,18,417.73,77,0,0,0,1
1574,19,430.67,77,0,0,0,0
1575,20,444.05,77,0,0,0,0
1576,21,457.11,75,0,0,0,2
1577,22,469.9,74,0,1,0,0
1578,23,482.67,74,0,0,0,0
1579,24,495.32,71,3,0,1,1
1580,25,508.14,70,0,0,1,0
1581,26,520.89,69,0,0,1,0
1582,27,533.51,69,0,0,0,0
1583,28,545.82,69,0,0,0,0
1584,29,557.98,69,0,0,0,0
1585,30,570.11,69,0,0,0,0
1586,31,582.24,69,0,0,0,0
1587,32,594.51,69,0,0,0,0
1588,33,606.68,69,0,0,0,0
1589,34,619.35,69,0,0,0,0
1590,35,632.4,69,0,0,0,0
1591,36,644.26,69,0,0,0,0
1592,37,656.15,69,0,0,0,0
1593,38,668.22,69,0,0,0,0
1594,39,680.34,69,0,0,0,0
1595,40,692.61,68,1,0,0,0
1596,41,704.93,68,0,0,0,0
1597,42,717.75,68,0,0,0,0
1598,43,730.02,68,0,0,0,0
1599,44,741.97,68,0,0,0,0
1600,45,753.86,68,0,0,0,0
1601,46,765.6,67,1,0,0,0
1602,47,777.27,67,0,0,0,0
1603,48,789.18,67,0,0,0,0
1604,49,800.88,67,0,0,0,0
1605,50,812.58,67,0,0,0,0
1606,51,824.25,67,0,0,0,0
1607,52,836.09,67,0,0,0,0
1608,53,847.79,67,0,0,0,0
1609,54,859.66,67,0,0,0,0
1610,55,871.42,67,0,0,0,0
1611,56,883.16,67,0,0,0,0
1612,57,894.89,67,0,0,0,0
1613,58,906.6,67,0,0,0,0
1614,59,918.59,67,0,0,0,0
1615,60,930.4,67,0,0,0,0
1616,61,942.08,67,0,0,0,0
1617,62,953.82,67,0,0,0,0
1618,63,966.11,67,0,0,0,0
1619,64,980.02,67,0,0,0,0
1620,65,992.5,67,0,0,0,0
1621,66,1004.1,67,0,0,0,0
1622,67,1015.78,67,0,0,0,0
1623,68,1028.26,67,0,0,0,0
1624,69,1040.64,67,0,0,0,0
1625,70,1052.92,67,0,0,0,0
1626,71,1065.04,67,0,0,0,0
1627,72,1077.07,67,0,0,0,0
1628,73,1089.27,67,0,0,0,0
1629,74,1101.56,66,0,1,0,0
1630,75,1113.92,65,0,1,0,0
1631,76,1126.08,65,0,0,0,0
1632,77,1138.15,65,0,0,0,0
1633,78,1150.72,65,0,0,0,0
1634,79,1164.05,65,0,0,0,0
1635,80,1180.6,65,0,0,0,0
1636,81,1193.76,65,0,0,0,0
1637,82,1205.93,65,0,0,0,0
1638,83,1217.94,65,0,0,0,0
1639,84,1230.67,65,0,0,0,0
1640,85,1244.36,65,0,0,0,0
1641,86,1257.76,65,0,0,0,0
1642,87,1271.98,65,0,0,0,0
1643,88,1284.49,65,0,0,0,0
1644,89,1297.67,65,0,0,0,0
1645,90,1313.22,65,0,0,0,0
1646,91,1325.84,65,0,0,0,0
1647,92,1338.42,65,0,0,0,0
1648,93,1351.01,65,0,0,0,0
1649,94,1363.36,65,0,0,0,0
1650,95,1376.09,65,0,0,0,0
1651,96,1388.92,65,0,0,0,0
1652,97,1401.3,65,0,0,0,0
1653,98,1413.72,65,0,0,0,0
1654,99,1426.04,65,0,0,0,0
1655,100,1438.96,65,0,0,0,0
1656,101,1450.64,65,0,0,0,0
1657,102,1462.52,65,0,0,0,0
1658,103,1475.22,65,0,0,0,0
1659,104,1486.95,65,0,0,0,0
1660,105,1500.22,65,0,0,0,0
